,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio
SPAC212.11,-47.334333229832346,-25.11396593251336,-23.9807824296773,-1.760415132358318
SPAC212.09c,-22.76686855717534,-15.445525307158675,-10.978750567841967,-3.657407317825303
SPAC212.04c,-40.41753591834491,-23.0987460549214,-17.759030357297497,-0.4402404938739864
SPAC212.01c,-35.60743247349737,-14.571764543048484,-20.806929060346086,0.2287388701028021
SPNCRNA.601,-44.423335723763245,-23.32878061689917,-23.437865579397194,-2.343310472533112
SPAC977.11,-20.240487853242442,-16.776558801326342,-19.62982484628387,-16.165895794367767
SPAC977.13c,-34.6372669502874,-23.406207308027398,-21.8322874656417,-10.601227823381706
SPAC977.15,-19.63737497869312,-15.357586316583422,-4.213841244330602,0.06594741777909263
SPAC977.16c,-20.34433898363745,-13.720031345861646,-11.587104810630002,-4.962797172854202
SPNCRNA.76,-31.152489982340512,-14.280689222132587,-18.32740268766794,-1.4556019274600196
SPNCRNA.603,-37.03933714789387,-19.00233747402832,-12.178458153670624,5.85854152019493
SPNCRNA.607,-38.14925874529597,-27.60875497644318,-19.997903800696275,-9.457400031843498
SPAC1F8.06,-45.44798934759111,-31.518709712085684,-13.84108897462213,0.08819066088329919
SPAC1F8.08,-11.280727484854864,-13.504200655728694,-3.9767445934737284,-6.200217764347557
SPAC11D3.19,-50.45984994339629,-28.039570955347997,-24.66606451892183,-2.2457855308735333
SPAC11D3.01c,-29.52578462602675,-18.19620366545746,-7.877604121308965,3.451976839260322
SPNCRNA.608,-42.156224104799406,-27.857395773263825,-4.162158147307867,10.136670184227716
SPAC11D3.02c,-9.875432635140383,-7.415391741188401,-3.1536058071302837,-0.6935649131782995
SPAC11D3.03c,-25.68360744373897,-17.66179464162271,-10.326867255232344,-2.305054453116089
SPAC11D3.05,-5.676590816118433,-13.31804186697036,-3.618924516133976,-11.260375566985905
SPAC11D3.07c,-2.1812301954678404,-9.413476648357848,-13.227716990176642,-20.45996344306665
SPAC11D3.08c,-13.68387003220299,-17.812701283857784,-13.165102905319754,-17.29393415697455
SPAC11D3.11c,-1.876688450642668,-4.250621689847083,-1.988220061124036,-4.362153300328451
SPAC11D3.14c,3.3127790285848637,1.6656890093304,-1.176011750996114,-2.8231017702505774
SPNCRNA.609,-30.205572920680773,-24.431160971408328,-10.418550594356411,-4.644138645083963
SPNCRNA.610,-40.203621500424795,-23.201647079207014,-17.083757798170463,-0.08178337695268567
SPAC11D3.16c,-13.921156130771225,-17.824795825854228,-12.30447796884476,-16.208117663927766
SPAC11D3.18c,-47.13592236355687,-25.00586828598897,-21.337652038891076,0.7924020386768191
SPNCRNA.612,-41.79633908400492,-27.554355606534447,-7.200729497331871,7.041253980138599
