,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
ENSMUSG00000000001,-647.8555956554447,-668.0115373970236,20.155941741578886
ENSMUSG00000000028,-529.1172372492622,-535.9824523635752,6.86521511431306
ENSMUSG00000000031,-205.86140173051075,-205.86124545875384,-0.00015627175690724468
ENSMUSG00000000037,-368.781350938647,-369.67243189846016,0.8910809598131095
ENSMUSG00000000049,-129.59597764476482,-128.98792154253715,-0.6080561022276356
ENSMUSG00000000056,-627.8052473525482,-638.3590932787754,10.553845926227039
ENSMUSG00000000058,-627.7575728499512,-647.8843921171574,20.126819267206198
ENSMUSG00000000078,-687.0435505314567,-690.8008459718938,3.7572954404370194
ENSMUSG00000000085,-674.8036170652557,-674.8036133285988,-3.7366571632446717e-06
ENSMUSG00000000088,-578.6226693726228,-586.0281932981891,7.405523925566285
ENSMUSG00000000120,-323.0893179162132,-323.0897402213137,0.00042230510052831965
ENSMUSG00000000127,-664.7606257899138,-668.4397893980893,3.6791636081756
ENSMUSG00000000131,-657.6503473890623,-659.4627023909347,1.812355001872561
ENSMUSG00000000134,-668.1707473625627,-676.5747331746634,8.4039858121007
ENSMUSG00000000142,-547.6037951436128,-547.6030608577963,-0.0007342858165202415
ENSMUSG00000000148,-658.9102498767953,-659.8265609907779,0.9163111139828288
ENSMUSG00000000149,-572.7260866946817,-573.6402820301843,0.9141953355023134
ENSMUSG00000000154,-124.23376207290522,-124.23358843451864,-0.0001736383865704738
ENSMUSG00000000157,-131.61294019365874,-131.61296664433553,2.6450676784861568e-05
ENSMUSG00000000159,-547.0233061615892,-549.2573785189428,2.234072357353625
ENSMUSG00000000167,-496.6888322256472,-500.4960541702773,3.807221944630101
ENSMUSG00000000168,-689.6430174506802,-692.5400600551197,2.897042604439548
ENSMUSG00000000171,-425.34864620743014,-430.6961274781446,5.347481270714526
ENSMUSG00000000184,-378.7573504290013,-434.5294059892069,55.77205556020567
ENSMUSG00000000194,-678.736514293632,-678.95374449875,0.2172302051179713
ENSMUSG00000000197,-669.2713796339092,-681.5660412286245,12.294661594715194
ENSMUSG00000000202,-643.4268459157106,-644.596465762345,1.1696198466344183
ENSMUSG00000000214,-475.75329435585496,-494.86268476369537,19.109390407840465
ENSMUSG00000000215,-750.6837446979672,-750.6821510088575,-0.0015936891096544061
ENSMUSG00000000216,-298.9593178261984,-298.9596020083278,0.00028418212946235144
ENSMUSG00000000223,-0.4128802755233778,-11.758331100882288,11.34545082535891
ENSMUSG00000000253,-687.8466735593956,-685.4093514566923,-2.437322102703206
ENSMUSG00000000266,-584.3434548702138,-584.3435955663956,0.0001406961818020136
ENSMUSG00000000275,-646.9416559556735,-650.0702736965046,3.1286177408311464
ENSMUSG00000000276,-632.0066174087659,-635.9942190407155,3.987601631949588
ENSMUSG00000000278,-670.7171296066788,-672.4988989001599,1.7817692934811475
ENSMUSG00000000282,-630.0709720630671,-633.4021758837284,3.331203820661472
ENSMUSG00000000295,-595.6378859644208,-612.8235084151274,17.18562245070666
ENSMUSG00000000296,-566.945711944657,-569.6153643069134,2.6696523622564428
ENSMUSG00000000301,-517.0655558113251,-517.0672037333834,0.0016479220582823473
ENSMUSG00000000303,-683.4504887545697,-687.8681679917975,4.4176792372277305
ENSMUSG00000000305,-446.45754901000197,-454.46027260381965,8.002723593817564
ENSMUSG00000000308,-663.0703324920072,-663.1201146873107,0.04978219530335082
ENSMUSG00000000317,-608.8073098187876,-609.8206941681423,1.0133843493546235
ENSMUSG00000000320,-143.50828101406597,-143.50816944480368,-0.00011156926228750308
ENSMUSG00000000325,-687.7203276800798,-706.3560768770155,18.635749196935876
ENSMUSG00000000326,-488.17746076235863,-492.4965452474781,4.319084485119504
ENSMUSG00000000339,-624.4339304676016,-630.6599093284198,6.225978860818144
ENSMUSG00000000340,-603.9574644694444,-604.7168763356037,0.7594118661593257
ENSMUSG00000000346,-556.5167338279841,-566.9478166871706,10.431082859186516
ENSMUSG00000000355,-640.4868680530137,-640.6758153572755,0.18894730426166007
ENSMUSG00000000365,-205.49554372567258,-205.4955217198786,-2.2005793937296406e-05
ENSMUSG00000000374,-605.364850671464,-607.7284118860944,2.3635612146304084
ENSMUSG00000000378,-631.6669454826265,-640.8104877399753,9.143542257348939
ENSMUSG00000000384,-609.7336094954869,-612.2616515927648,2.5280420972777615
ENSMUSG00000000385,-237.26200766360898,-239.7462520477793,2.4842443841703243
ENSMUSG00000000386,-245.74510228758075,-255.66677745285298,9.921675165272235
ENSMUSG00000000392,-537.2487657729741,-569.61981710114,32.37105132816589
ENSMUSG00000000394,-134.55625192966386,-367.59980493118445,233.04355300152062
ENSMUSG00000000399,-638.0787535885278,-645.1377127016548,7.058959113127003
ENSMUSG00000000402,-289.6175247084936,-289.6175234719741,-1.2365196084829222e-06
ENSMUSG00000000409,-647.1955858899737,-659.4795160311537,12.283930141180122
ENSMUSG00000000411,-107.06251131160707,-106.37488732699688,-0.6876239846101839
ENSMUSG00000000416,-310.26453546822114,-310.2645335589633,-1.909257775878359e-06
ENSMUSG00000000420,-670.4897587796329,-674.2620974343182,3.7723386546854267
ENSMUSG00000000439,-624.7592350131853,-626.6727084344478,1.913473421262552
ENSMUSG00000000441,-642.7702314082445,-647.3854952541416,4.615263845897061
ENSMUSG00000000486,-111.23989184638651,-113.46189032769831,2.2219984813118003
ENSMUSG00000000489,83.12855953375994,83.12855483303484,4.7007250714159446e-06
ENSMUSG00000000531,-458.31782397185793,-462.0290662298806,3.7112422580226503
ENSMUSG00000000532,-606.8781045250064,-609.9977107811981,3.1196062561916733
ENSMUSG00000000538,-692.3305845880267,-692.3305508790428,-3.370898389221111e-05
ENSMUSG00000000544,-549.4724930213623,-632.5833547683359,83.11086174697357
ENSMUSG00000000552,-301.8017363544657,-301.8017722314343,3.587696863860401e-05
ENSMUSG00000000555,64.10822386553048,64.10823468685277,-1.0821322291576507e-05
ENSMUSG00000000560,18.64871392876057,19.621802462760684,-0.9730885340001124
ENSMUSG00000000561,-711.4695426096177,-714.9706259039043,3.5010832942864454
ENSMUSG00000000562,-157.30210171303048,-155.84255741099489,-1.4595443020356242
ENSMUSG00000000563,-367.88283090356117,-377.8351625603751,9.952331656813953
ENSMUSG00000000567,-425.60080158072907,-432.6612818036185,7.0604802228895664
ENSMUSG00000000568,-608.1970270653591,-621.0273280903064,12.830301024947287
ENSMUSG00000000579,-450.7632283815207,-450.7595573732381,-0.0036710082825948116
ENSMUSG00000000581,-624.6258580024568,-639.1427841082995,14.516926105842686
ENSMUSG00000000594,-557.9723743395184,-557.9718756185814,-0.0004987209370028721
ENSMUSG00000000600,-670.1596602104402,-670.4613915565966,0.30173134615631625
ENSMUSG00000000605,-681.8174251742362,-681.8582264647989,0.040801290562853865
ENSMUSG00000000627,-527.5493510524199,-535.3800048504776,7.830653798057824
ENSMUSG00000000628,-172.96534353097545,-172.96534184555802,-1.6854174873515147e-06
ENSMUSG00000000631,-628.0446465769422,-640.191257945814,12.146611368871618
ENSMUSG00000000632,-453.8227766960489,-461.087925611701,7.2651489156520475
ENSMUSG00000000673,-47.79954081263895,-46.32008592102915,-1.4794548916098051
ENSMUSG00000000682,25.018589476417674,25.018589425839195,5.057847829448292e-08
ENSMUSG00000000686,-577.9046875751353,-587.7005278934473,9.795840318312004
ENSMUSG00000000693,-326.07386610664884,-322.6405598447285,-3.4333062619202788
ENSMUSG00000000708,-645.5658076936545,-645.5652011070964,-0.0006065865580922036
ENSMUSG00000000711,-626.8408273850317,-626.8437926778863,0.0029652928544692263
ENSMUSG00000000724,36.40456105718175,36.404760516189974,-0.0001994590082290415
ENSMUSG00000000731,-26.56376474073187,-26.563696799858636,-6.794087323669372e-05
ENSMUSG00000000732,-92.19845614249463,-116.69068787949293,24.492231736998292
ENSMUSG00000000738,-663.6192297488061,-665.5003116300805,1.88108188127444
ENSMUSG00000000739,86.41431356834505,86.41431337680638,1.9153867469867686e-07
ENSMUSG00000000740,-30.785439594377976,-109.16082882777071,78.37538923339275
ENSMUSG00000000743,-627.9809276162509,-640.7103808256079,12.729453209356846
ENSMUSG00000000751,-699.3814692987097,-711.2621572270351,11.880687928325301
ENSMUSG00000000753,-194.91308673690884,-193.7398956128364,-1.1731911240725026
ENSMUSG00000000759,-699.8241526886247,-700.0685687535088,0.2444160648840352
ENSMUSG00000000766,-137.88069433284056,-139.82130218636445,1.9406078535238864
ENSMUSG00000000776,-655.0424557780136,-657.9195503086838,2.87709453067032
