,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
ENSMUSG00000000001,-647.8555956554447,-305.88954125028783,-341.9660544051569
ENSMUSG00000000028,-529.1172372492622,-226.50341886142616,-302.6138183878361
ENSMUSG00000000031,-205.86140173051075,20.29432637428664,-226.1557281047974
ENSMUSG00000000037,-368.78135093865257,-104.00770039678429,-264.77365054186834
ENSMUSG00000000049,315.0194996039786,419.24247666902335,-104.22297706504473
ENSMUSG00000000056,-627.8052473525482,-339.46010735708194,-288.3451399954664
ENSMUSG00000000058,-627.7575728499512,-333.2341257762285,-294.5234470737226
ENSMUSG00000000078,-687.0435505314597,-379.8674265418344,-307.1761239896252
ENSMUSG00000000085,-674.8036170652576,-369.6980542957895,-305.1055627694682
ENSMUSG00000000088,-578.6226693726228,-301.7798280069788,-276.84284136564395
ENSMUSG00000000120,-47.4435215938671,101.24102410911536,-148.68454570298246
ENSMUSG00000000127,-664.7606257899138,-374.92692304501645,-289.8337027448973
ENSMUSG00000000131,-657.6503473890623,-347.84467775061097,-309.8056696384512
ENSMUSG00000000134,-668.1707473625629,-356.7820111214368,-311.38873624112597
ENSMUSG00000000142,-547.603795145473,-285.41517597703205,-262.1886191684409
ENSMUSG00000000148,-658.9102498767953,-363.13876902013044,-295.7714808566647
ENSMUSG00000000149,-572.7260866866565,-300.73221743967605,-271.9938692469804
ENSMUSG00000000154,-124.23376207290522,147.14663430094254,-271.38039637384776
ENSMUSG00000000157,-131.6129401936588,81.39220035444032,-213.00514054809915
ENSMUSG00000000159,-547.0233061617209,-265.6502561353301,-281.3730500263909
ENSMUSG00000000167,-496.6888322256472,-231.73679349699185,-264.9520387286554
ENSMUSG00000000168,-689.6430174506802,-372.0274874562674,-317.6155299944128
ENSMUSG00000000171,-425.3486462074297,-18.84200171860323,-406.5066444888264
ENSMUSG00000000184,-378.7573504290061,77.3960428362616,-456.1533932652677
ENSMUSG00000000194,-678.7365142936321,-359.64361594554947,-319.0928983480826
ENSMUSG00000000197,-669.2713796339092,-373.5696966539194,-295.70168297998987
ENSMUSG00000000202,-643.4268459157107,-362.12692436113616,-281.29992155457455
ENSMUSG00000000214,246.81327537420762,283.7727699779192,-36.95949460371156
ENSMUSG00000000215,-750.6837446979672,-380.6987013205159,-369.98504337745135
ENSMUSG00000000216,-298.9593178261984,3.1396298367601503,-302.0989476629585
ENSMUSG00000000223,337.9534664691676,418.7297032368352,-80.77623676766763
ENSMUSG00000000253,-687.8466735593958,-367.04294453786173,-320.803729021534
ENSMUSG00000000266,-294.6482609319808,-131.64855310206258,-162.99970782991826
ENSMUSG00000000275,-646.9416559556735,-354.25683667752395,-292.6848192781495
ENSMUSG00000000276,-632.0066174087657,-319.0245536807568,-312.982063728009
ENSMUSG00000000278,-670.7171296066787,-336.3137584545249,-334.4033711521537
ENSMUSG00000000282,-630.0709720630671,-352.31140728738916,-277.759564775678
ENSMUSG00000000295,-595.6378859644209,-329.2310823680625,-266.40680359635843
ENSMUSG00000000296,-566.945711944657,-292.25366526250923,-274.6920466821477
ENSMUSG00000000301,-517.0655558113251,-251.5819588119272,-265.4835969993979
ENSMUSG00000000303,-683.4504887545697,-345.462042524044,-337.9884462305257
ENSMUSG00000000305,-446.45754901000214,-177.00738135904174,-269.4501676509604
ENSMUSG00000000308,-663.0703325054345,-365.55350535163325,-297.51682715380133
ENSMUSG00000000317,-608.8073098187878,-313.4681778849787,-295.33913193380914
ENSMUSG00000000320,-143.50828101406597,-9.239919059437797,-134.26836195462818
ENSMUSG00000000325,-687.7203276800793,-390.50744911724195,-297.2128785628375
ENSMUSG00000000326,-488.17746076235994,-51.63088788926422,-436.5465728730958
ENSMUSG00000000339,-624.4339304676173,-356.21323555364825,-268.22069491396917
ENSMUSG00000000340,-603.9574644694445,-321.3192760077792,-282.6381884616654
ENSMUSG00000000346,-556.5167338279848,-180.43441073996587,-376.0823230880189
ENSMUSG00000000355,-640.4868680530142,-317.89146380101465,-322.59540425199964
ENSMUSG00000000365,-205.49554372567258,59.04453801998767,-264.54008174566025
ENSMUSG00000000374,-605.3648506714642,-329.4513835912715,-275.91346708019256
ENSMUSG00000000378,-631.6669454826265,-349.4078655603305,-282.259079922296
ENSMUSG00000000384,-609.7336094954869,-320.2323405072474,-289.50126898823953
ENSMUSG00000000385,-237.26200766360898,40.31238228193053,-277.5743899455395
ENSMUSG00000000386,-245.74510228758072,-103.05983092280542,-142.6852713647753
ENSMUSG00000000392,-537.2487657729741,-285.3567656428576,-251.89200013011646
ENSMUSG00000000394,-134.55625192961662,477.79769919160674,-612.3539511212234
ENSMUSG00000000399,-638.0787535885278,-314.89814638305285,-323.1806072054748
ENSMUSG00000000402,-289.6175247084936,-17.869593095549817,-271.74793161294383
ENSMUSG00000000409,-647.1955858899737,-360.17865204828604,-287.01693384168783
ENSMUSG00000000411,158.15806983741066,311.64997148928416,-153.49190165187343
ENSMUSG00000000416,-310.26453546822114,-11.49043378360966,-298.77410168461137
ENSMUSG00000000420,-670.4897587796332,-368.4736690944686,-302.0160896851646
ENSMUSG00000000439,-624.7592350131849,-340.9369091375719,-283.82232587561316
ENSMUSG00000000441,-642.7702314082446,-304.7655476739838,-338.0046837342608
ENSMUSG00000000486,211.1699651631659,302.8593557084625,-194.23918104023969
ENSMUSG00000000489,781.4341932704382,1034.4779745520386,-253.04378128160067
ENSMUSG00000000531,-458.31782397185805,-199.60952134191854,-258.7083026299395
ENSMUSG00000000532,-606.8781045250066,-334.60137340393896,-272.2767311210677
ENSMUSG00000000538,-692.3305845843213,-368.1860874858516,-324.1444970984696
ENSMUSG00000000544,-549.4724930213623,-349.6446989131518,-199.8277941082105
ENSMUSG00000000552,-301.8017363544857,-86.93574155753116,-214.8659947969545
ENSMUSG00000000555,64.10822386553025,303.44098495615435,-239.33276109062405
ENSMUSG00000000560,225.61062920179782,350.0063851865383,-124.3957559847405
ENSMUSG00000000561,-711.4695426096177,-383.49046706244764,-327.97907554717005
ENSMUSG00000000562,252.2538454436954,356.23553863180894,-103.98169318811352
ENSMUSG00000000563,-367.88283090356214,70.54794149546456,-438.4307723990268
ENSMUSG00000000567,-425.6008015807322,-145.7745666511738,-279.82623492955844
ENSMUSG00000000568,-608.1970270653587,-322.61689884854667,-285.58012821681217
ENSMUSG00000000579,-450.7632283815248,13.099742024183286,-463.86297040570815
ENSMUSG00000000581,-624.6258580024568,-304.69253067996317,-319.93332732249337
ENSMUSG00000000594,-557.9723743399246,-183.58503470454812,-374.3873396353765
ENSMUSG00000000600,-670.1596602104402,-356.3353315241796,-313.8243286862606
ENSMUSG00000000605,-681.8174251742362,-353.78408520087646,-328.03333997335966
ENSMUSG00000000627,-527.5493510524199,-229.76440420261642,-297.7849468498034
ENSMUSG00000000628,-172.96534353097542,102.77730361614442,-275.74264714711984
ENSMUSG00000000631,-628.0446465769422,-333.1996104270627,-294.84503614987966
ENSMUSG00000000632,-453.82277669606145,-179.1800907690258,-274.6426859270357
ENSMUSG00000000673,166.01427358414395,295.6226482996857,-129.60837471554171
ENSMUSG00000000682,772.4072352963402,1030.1927622380158,-257.7855269416757
ENSMUSG00000000686,-577.9046875751353,-287.1408198091369,-290.76386776599844
ENSMUSG00000000693,-33.08297004169657,131.09880784144252,-164.1817778831391
ENSMUSG00000000708,-645.5658076936545,-354.9173911028139,-290.6484165908406
ENSMUSG00000000711,-626.8408273850313,-277.43061945232625,-349.41020793270485
ENSMUSG00000000724,36.40456105718181,145.3552136265709,-108.95065256938908
ENSMUSG00000000731,204.72208326103728,328.8301950722213,-124.10811181118403
ENSMUSG00000000732,263.3472455840572,360.9619606116489,-97.61471502759184
ENSMUSG00000000738,-663.6192297488062,-364.0192898772048,-299.59993987160146
ENSMUSG00000000739,781.972504111897,1034.7353022374157,-252.7627981255186
ENSMUSG00000000740,-30.785439594377976,508.31956474962766,-539.1050043440057
